series,season,winner,series_id
Faysal Bank T-20 Cup (in Pakistan),2010/11,Lahore Lions,479929
Pakistan A in West Indies unofficial T20I Series,2010/11,W. Indies A,480423
Stanbic Bank 20 Series (in Zimbabwe),2010/11,Eagles,474534
Pakistan in New Zealand T20I Series,2010/11,New Zealand,473914
HRV Cup (in New Zealand),2010/11,Auckland,475375
India in South Africa T20I Match,2010/11,India,463138
England in Australia T20I Series,2010/11,drawn,446949
Caribbean T20 (in West Indies),2010/11,Trinidad & T,487275
Twenty20 Big Bash (in Australia),2010/11,South Aust,461027
Syed Mushtaq Ali Trophy (in India),2010/11,Bengal,471504
Standard Bank Pro20 Series (in South Africa),2010/11,Cape Cobras,469356
Pakistan in West Indies T20I Match,2011,West Indies,489203
Indian Premier League (in India),2011,Super Kings,466304
India in West Indies T20I Match,2011,India,489198
Sri Lanka in England T20I Match,2011,Sri Lanka,474457
Faysal Bank Super Eight T-20 Cup (in Pakistan),2011,R Rams,519380
Sri Lanka Cricket Inter-Provincial Twenty20 Tournament,2011,Ruhuna,523349
Australia in Sri Lanka T20I Series,2011,Sri Lanka,516175
Etihad Summer Festival (in Canada),2011,Trinidad & T,504777
Friends Life t20 (in England),2011,Leics,491208
India in England T20I Match,2011,England,474460
Pakistan in Zimbabwe T20I Series,2011,Pakistan,504009
West Indies in England T20I Series,2011,drawn,525815
Faysal Bank T-20 Cup (in Pakistan),2011/12,S Stallions,530192
Scotland in Namibia unofficial T20I Series,2011/12,Scotland,529473
Nokia Champions League T20 (in India),2011/12,Mum Indians,519661
West Indies in Bangladesh T20I Match,2011/12,Bangladesh,531976
Australia in South Africa T20I Series,2011/12,drawn,514018
New Zealand in Zimbabwe T20I Series,2011/12,New Zealand,527009
England in India T20I Match,2011/12,England,521213
Kenya in Namibia unofficial T20I Series,2011/12,Namibia,538150
Bangladesh A in West Indies unofficial T20I Series,2011/12,drawn,537765
Stanbic Bank 20 Series (in Zimbabwe),2011/12,Mountaineers,540848
CSA Provincial T20 Challenge (in Namibia/South Africa),2011/12,Northerns,528285
Caribbean T20 (in West Indies),2011/12,Trinidad & T,537231
HRV Cup (in New Zealand),2011/12,Auckland,526613
England Lions in Bangladesh unofficial T20I Series,2011/12,drawn,545671
Big Bash League (in Australia),2011/12,Syd Sixers,509666
India in Australia T20I Series,2011/12,drawn,518946
Zimbabwe in New Zealand T20I Series,2011/12,New Zealand,520584
South Africa in New Zealand T20I Series,2011/12,South Africa,520585
Ireland in Kenya T20I Series,2011/12,Ireland,543871
ICC World Twenty20 Qualifier (in United Arab Emirates),2011/12,Ireland,532912
Syed Mushtaq Ali Trophy (in India),2011/12,Baroda,526256
Australia in West Indies T20I Series,2011/12,drawn,540166
India in South Africa T20I Match,2011/12,South Africa,559340
Faysal Bank Super Eight T-20 Cup (in Pakistan),2011/12,S Stallions,557939
MiWAY T20 Challenge (in South Africa),2011/12,Titans,530257
CSN Premier Clubs T20 Tournament (in Sri Lanka),2011/12,Burgher,558553
Indian Premier League (in India),2012,KKR,520932
Pakistan in Sri Lanka T20I Series,2012,drawn,562387
India A in West Indies unofficial T20I Series,2012,drawn,562894
West Indies in England T20I Match,2012,England,534188
Zimbabwe Twenty20 Triangular Series,2012,Zimbabwe XI,561548
Bangladesh v Scotland T20I Match (in Netherlands),2012,Scotland,567202
Bangladesh in Netherlands T20I Series,2012,drawn,567203
India in Sri Lanka T20I Match,2012,India,564780
Friends Life t20 (in England),2012,Hampshire,542416
Sri Lanka Premier League,2012,Uva Next,564280
Trinidad Quadrangular T20 (in West Indies),2012,Afghanistan,579978
South Africa in England T20I Series,2012,drawn,534191
ICC World Twenty20 (in Sri Lanka),2012/13,West Indies,531597
Champions League Twenty20 (in South Africa),2012/13,Syd Sixers,566250
New Zealand in Sri Lanka T20I Match,2012/13,drawn,582181
Faysal Bank T-20 Cup (in Pakistan),2012/13,Lahore Lions,594100
West Indies in Bangladesh T20I Match,2012/13,West Indies,586602
England in India T20I Series,2012/13,drawn,565797
New Zealand in South Africa T20I Series,2012/13,South Africa,567343
Pakistan in India T20I Series,2012/13,drawn,589303
Big Bash League (in Australia),2012/13,Heat,571220
Caribbean T20 (in West Indies),2012/13,Trinidad & T,587824
HRV Cup (in New Zealand),2012/13,Otago,577196
Sri Lanka in Australia T20I Series,2012/13,Sri Lanka,572996
Domestic Twenty20 Competition (in Zimbabwe),2012/13,Mountaineers,580836
Afghanistan in Pakistan unofficial T20I Match,2012/13,Pakistan A,604412
West Indies in Australia T20I Match,2012/13,West Indies,573000
England in New Zealand T20I Series,2012/13,England,569231
Bangladesh Premier League,2012/13,Dhaka,586487
Pakistan in South Africa T20I Series,2012/13,Pakistan,567347
Zimbabwe in West Indies T20I Series,2012/13,West Indies,593978
Bangladesh in Zimbabwe T20I Series,2013,drawn,623568
Indian Premier League (in India),2013,Mum Indians,586733
Sri Lanka A in West Indies unofficial T20I Series,2013,W. Indies A,631939
New Zealand in England T20I Series,2013,New Zealand,566897
Kenya in Scotland T20I Series,2013,Scotland,631555
Advance Telecom Ramadan T20 Cup (in Pakistan),2013,Habib Bank,645753
Pakistan in West Indies T20I Series,2013,Pakistan,645629
South Africa in Sri Lanka T20I Series,2013,South Africa,635652
Canada v United Arab Emirates T20 Series (in Canada),2013,U.A.E.,631556
Friends Life t20 (in England),2013,Northants,592761
Sri Lanka Cricket Super 4's Twenty20 Tournament,2013,Kandurata Ma,659505
Caribbean Premier League (in West Indies),2013,Tallawahs,604578
Pakistan in Zimbabwe T20I Series,2013,Pakistan,659537
Australia in England T20I Series,2013,drawn,566895
West Indies A in India unofficial T20I Match,2013/14,India A,664387
Champions League Twenty20 (in India),2013/14,Mum Indians,629521
India v Australia T20I Match (in India),2013/14,India,647243
Pakistan in South Africa T20I Series,2013/14,drawn,685723
ICC World Twenty20 Qualifier (in United Arab Emirates),2013/14,Ireland,660011
Faysal Bank T-20 Cup for Departments (in Pakistan),2013/14,ZTBL,691945
West Indies in New Zealand T20I Series,2013/14,New Zealand,661677
HRV Twenty20 (in New Zealand),2013/14,Northern D,665521
England in Australia T20I Series,2013/14,Australia,636158
Big Bash League (in Australia),2013/14,Scorchers,641477
Ram Slam T20 Challenge (in South Africa),2013/14,Dolphins,652131
Sri Lanka in Bangladesh T20I Series,2013/14,Sri Lanka,690343
Caribbean Premier League (in West Indies),2014,Tridents,734487
NatWest t20 Blast (in England),2014,Warwickshire,691693
Bangladesh in West Indies T20I Match,2014,drawn,730271
India in England T20I Match,2014,England,667703
Bank Albaraka Presents Haier T20 Cup (in Pakistan),2014/15,P Panthers,779411
Champions League Twenty20 (in India),2014/15,Super Kings,763543
South Africa in Australia T20I Series,2014/15,Australia,754593
Hong Kong v Nepal T20I Series (in Sri Lanka),2014/15,Hong Kong,800057
Ram Slam T20 Challenge (in South Africa),2014/15,Cape Cobras,736125
West Indies in South Africa T20I Series,2014/15,West Indies,722323
Big Bash League (in Australia),2014/15,Scorchers,756733
CSA Provincial T20 Challenge (in Namibia/South Africa),2014/15,Gauteng,783845
Syed Mushtaq Ali Trophy (in India),2014/15,Gujarat,775445
SLC Twenty-20 Tournament (in Sri Lanka),2014/15,Badureliya,854813
Pakistan in Bangladesh T20I Match,2015,Bangladesh,856315
Cool & Cool Presents Haier Super8 T20 Cup (in Pakistan),2015,S Stallions,871187
Pepsi Indian Premier League (in India),2015,Mum Indians,791129
Zimbabwe in Pakistan T20I Series,2015,Pakistan,868719
Scotland in Ireland T20I Series,2015,Scotland,876459
New Zealand in England T20I Match,2015,England,743921
Nepal in Netherlands T20I Series,2015,Netherlands,883339
South Africa in Bangladesh T20I Series,2015,South Africa,817191
India in Zimbabwe T20I Series,2015,drawn,885957
Caribbean Premier League (in West Indies),2015,Red Steel,846823
ICC World Twenty20 Qualifier (in Ireland/Scotland),2015,shared,875401
Pakistan in Sri Lanka T20I Series,2015,Pakistan,860097
New Zealand in Zimbabwe T20I Match,2015,New Zealand,894277
New Zealand in South Africa T20I Series,2015,drawn,848823
NatWest t20 Blast (in England),2015,Lancashire,803393
South Africa in India T20I Series,2015/16,South Africa,903577
Afghanistan in Zimbabwe T20I Series,2015/16,Afghanistan,924625
West Indies in Sri Lanka T20I Series,2015/16,drawn,915349
Zimbabwe in Bangladesh T20I Series,2015/16,drawn,931386
Syed Mushtaq Ali Trophy (in India),2015/16,U. Pradesh,901113
Pakistan in New Zealand T20I Series,2015/16,New Zealand,914263
Walton T20 Cricket Series (Zimbabwe in Bangladesh),2015/16,drawn,958413
AIA Premier T20 Tournament (in Sri Lanka),2015/16,SL Army,937137
Big Bash League (in Australia),2015/16,Syd Thunder,897689
India in Australia T20I Series,2015/16,India,895805
Scotland in Hong Kong T20I Series,2015/16,drawn,953101
Sri Lanka in India T20I Series,2015/16,India,963669
Ireland in United Arab Emirates T20I Series,2015/16,drawn,965083
England in South Africa T20I Series,2015/16,South Africa,800451
Pakistan Super League (in United Arab Emirates),2015/16,Islamabad Un,923069
Island of Origin (in New Zealand),2015/16,North Island,973311
Asia Cup (in Bangladesh),2015/16,India,966595
CSA Provincial T20 Challenge (in Namibia/South Africa),2015/16,KZN-Inland,874765
Australia in South Africa T20I Series,2015/16,Australia,884345
World T20 (in India),2015/16,West Indies,901359
Indian Premier League (in India),2016,Sunrisers,968923
India in Zimbabwe T20I Series,2016,India,1007665
Sri Lanka in England T20I Match,2016,England,913595
CSA T20 Challenge (in South Africa),2016/17,Titans,1003347
Super Smash (in New Zealand),2016/17,Wellington,1053263
Bangladesh in New Zealand T20I Series,2016/17,New Zealand,1019971
Desert T20 Challenge (in United Arab Emirates),2016/17,Afghanistan,1074956
Sri Lanka in South Africa T20I Series,2016/17,Sri Lanka,936123
Big Bash League (in Australia),2016/17,Scorchers,1023537
England in India T20I Series,2016/17,India,1034805
Pakistan in West Indies T20I Series,2017,Pakistan,1077945
Bangladesh in Sri Lanka T20I Series,2016/17,drawn,1083439
